City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Marshall,US,2020-07-02 03:35:33,34.38,-86.33,75.0,94,40,4.7
71,Tyube,RU,2020-07-02 03:35:33,43.05,47.31,73.4,64,5,6.71
72,Lorengau,PG,2020-07-02 03:35:33,-2.02,147.27,85.26,69,9,10.27
73,Cockburn Town,TC,2020-07-02 03:26:46,21.46,-71.14,82.53,79,75,15.79
74,Norman Wells,CA,2020-07-02 03:26:32,65.28,-126.83,53.6,93,90,14.99
75,Castro,BR,2020-07-02 03:26:26,-24.79,-50.01,41.32,93,40,4.83
76,Broome,US,2020-07-02 03:26:39,42.25,-75.83,66.99,82,1,5.82
77,Thompson,CA,2020-07-02 03:26:44,55.74,-97.86,59.0,100,90,6.93
78,Nanortalik,GL,2020-07-02 03:27:14,60.14,-45.24,41.27,85,100,5.28
79,Upernavik,GL,2020-07-02 03:26:42,72.79,-56.15,37.18,81,98,14.65
80,Kota Kinabalu,MY,2020-07-02 03:32:36,5.97,116.07,89.6,75,20,8.05
81,Tuktoyaktuk,CA,2020-07-02 03:26:25,69.45,-133.04,41.0,86,90,9.17
82,Hermanus,ZA,2020-07-02 03:26:22,-34.42,19.23,45.0,97,70,8.16
83,Olafsvik,IS,2020-07-02 03:26:41,64.89,-23.71,50.18,81,0,2.91
84,Chardara,KZ,2020-07-02 03:35:34,41.25,67.97,77.92,42,0,15.01
85,Maraba,BR,2020-07-02 03:35:35,-5.37,-49.12,71.82,80,0,1.14
86,Chara,RU,2020-07-02 03:27:06,56.91,118.26,78.19,37,99,0.69
87,Zhigansk,RU,2020-07-02 03:35:35,66.77,123.37,75.33,33,1,21.18
88,Roald,NO,2020-07-02 03:26:24,62.58,6.13,44.6,81,95,5.82
89,Hobyo,SO,2020-07-02 03:35:35,5.35,48.53,79.09,69,32,24.47
90,Kahului,US,2020-07-02 03:26:52,20.89,-156.47,87.8,48,1,25.28
91,Katsuura,JP,2020-07-02 03:26:47,35.13,140.3,86.0,48,40,19.46
92,Carnarvon,AU,2020-07-02 03:24:24,-24.87,113.63,69.8,46,0,17.22
93,Ilulissat,GL,2020-07-02 03:26:29,69.22,-51.1,44.6,75,2,3.36
94,Phuthaditjhaba,ZA,2020-07-02 03:35:35,-28.52,28.82,40.51,56,0,3.04
95,El Alto,PE,2020-07-02 03:35:36,-4.27,-81.21,65.68,77,1,13.11
96,Plettenberg Bay,ZA,2020-07-02 03:26:37,-34.05,23.37,57.38,50,0,5.1
97,Changde,CN,2020-07-02 03:26:56,29.05,111.68,75.99,92,100,10.25
98,Grand Gaube,MU,2020-07-02 03:26:31,-20.01,57.66,66.99,80,10,1.99
99,Camacha,PT,2020-07-02 03:26:38,33.08,-16.33,69.8,73,75,9.17
100,Butaritari,KI,2020-07-02 03:26:30,3.07,172.79,82.69,73,4,9.64
101,Mizdah,LY,2020-07-02 03:35:36,31.45,12.98,70.47,42,0,2.42
102,Maler Kotla,IN,2020-07-02 03:35:36,30.52,75.88,102.52,32,0,8.16
103,Chuy,UY,2020-07-02 03:26:35,-33.7,-53.46,43.95,81,28,9.57
104,De Aar,ZA,2020-07-02 03:35:37,-30.65,24.01,42.08,66,0,5.46
