City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
71,Karasburg,NA,-28.02,18.75,45.55,69,100,8.48,overcast clouds,0.0,0
72,Mahebourg,MU,-20.41,57.7,73.4,94,75,9.17,light intensity shower rain,0.0,0
73,Riyadh,SA,24.69,46.72,87.8,15,0,6.93,clear sky,0.0,0
74,Bethel,US,41.37,-73.41,69.01,88,40,4.7,scattered clouds,0.0,0
75,Buchanan,LR,5.88,-10.05,75.4,83,98,5.73,overcast clouds,0.0,0
76,Kindu,CD,-2.95,25.95,69.26,81,100,1.52,overcast clouds,0.0,0
77,Murgab,TM,37.5,61.97,78.8,36,0,6.93,clear sky,0.0,0
78,Itarema,BR,-2.92,-39.92,75.67,90,47,7.11,scattered clouds,0.0,0
79,Nyurba,RU,63.28,118.33,66.33,43,0,4.16,clear sky,0.0,0
80,Tecoanapa,MX,16.52,-98.75,80.19,79,97,3.71,moderate rain,1.72,0
81,Conde,BR,-7.26,-34.91,70.18,91,2,8.12,clear sky,0.0,0
82,Nizhniy Baskunchak,RU,48.22,46.83,88.38,21,0,7.11,clear sky,0.0,0
83,Boda,CF,4.32,17.47,69.03,94,87,3.06,overcast clouds,0.0,0
84,Bengkulu,ID,-3.8,102.27,86.9,57,79,4.32,broken clouds,0.0,0
85,Georgetown,MY,5.41,100.34,86.0,74,20,2.24,few clouds,0.0,0
86,Rio Grande,BR,-32.03,-52.1,50.81,79,100,9.51,overcast clouds,0.0,0
87,La Ronge,CA,55.1,-105.28,66.2,55,20,2.24,few clouds,0.0,0
88,Nampula,MZ,-15.12,39.27,62.6,93,40,11.41,scattered clouds,0.0,0
89,Severo-Kurilsk,RU,50.68,156.12,56.62,78,19,6.42,few clouds,0.0,0
90,Okhotsk,RU,59.38,143.3,56.53,71,94,9.28,overcast clouds,0.0,0
91,Bluff,NZ,-46.6,168.33,46.18,84,89,20.94,light rain,0.32,0
92,Vaini,TO,-21.2,-175.2,78.8,83,75,9.17,broken clouds,0.0,0
93,Kyshtovka,RU,56.55,76.63,65.01,79,90,8.66,overcast clouds,0.0,0
94,Vanavara,RU,60.34,102.28,73.17,58,56,7.85,broken clouds,0.0,0
95,Tiksi,RU,71.69,128.87,37.72,88,92,5.77,overcast clouds,0.0,0
96,Ushuaia,AR,-54.8,-68.3,35.6,74,20,12.75,few clouds,0.0,0
97,Yar-Sale,RU,66.83,70.83,74.59,49,28,5.01,scattered clouds,0.0,0
98,Cayenne,GF,4.93,-52.33,75.2,100,20,8.14,few clouds,0.0,0
99,Talnakh,RU,69.49,88.4,66.2,63,95,6.71,overcast clouds,0.0,0
100,Thompson,CA,55.74,-97.86,62.6,72,20,4.7,few clouds,0.0,0
101,Myski,RU,53.71,87.8,64.17,90,82,4.76,broken clouds,0.0,0
102,Coffs Harbour,AU,-30.3,153.13,66.99,48,0,16.11,clear sky,0.0,0
103,Atar,MR,20.52,-13.05,84.06,48,0,7.83,clear sky,0.0,0
104,Himi,JP,36.85,136.98,78.8,88,75,2.24,light intensity shower rain,0.0,0
105,Salamiyah,SY,35.01,37.05,70.36,85,0,10.36,clear sky,0.0,0
106,Svetlyy,RU,54.67,20.13,57.2,82,94,8.95,overcast clouds,0.0,0
107,Alta Floresta,BR,-9.88,-56.09,70.03,56,0,3.78,clear sky,0.0,0
108,Novo Aripuana,BR,-5.12,-60.38,78.71,75,82,1.68,broken clouds,0.0,0
